 format: day,hour,forecast,value  location:53_114 Start : 20161001 
 1,0200,+4,116.000000 
 1,0200,+7,105.000000 
 1,0200,+10,115.000000 
 1,0200,+13,163.000000 
 1,0200,+16,161.000000 
 1,0200,+19,98.000000 
 1,0200,+22,81.000000 
 1,0200,+25,85.000000 
 1,0200,+28,85.000000 
 1,0200,+31,149.000000 
 1,0200,+34,185.000000 
 1,0200,+37,209.000000 
 1,0200,+40,201.000000 
 1,0200,+43,202.000000 
 1,0200,+46,219.000000 
 1,0200,+49,266.000000 
 1,0200,+52,332.000000 
 1,0200,+55,354.000000 
 1,0200,+58,22.000000 
 1,0200,+61,160.000000 
 1,0500,+4,105.000000 
 1,0500,+7,115.000000 
 1,0500,+10,163.000000 
 1,0500,+13,161.000000 
 1,0500,+16,98.000000 
 1,0500,+19,81.000000 
 1,0500,+22,85.000000 
 1,0500,+25,85.000000 
 1,0500,+28,149.000000 
 1,0500,+31,185.000000 
 1,0500,+34,209.000000 
 1,0500,+37,201.000000 
 1,0500,+40,202.000000 
 1,0500,+43,219.000000 
 1,0500,+46,266.000000 
 1,0500,+49,332.000000 
 1,0500,+52,354.000000 
 1,0500,+55,22.000000 
 1,0500,+58,160.000000 
 1,0800,+4,12.000000 
 1,0800,+7,140.000000 
 1,0800,+10,120.000000 
 1,0800,+13,94.000000 
 1,0800,+16,14.000000 
 1,0800,+19,47.000000 
 1,0800,+22,67.000000 
 1,0800,+25,90.000000 
 1,0800,+28,177.000000 
 1,0800,+31,287.000000 
 1,0800,+34,14.000000 
 1,0800,+37,337.000000 
 1,0800,+40,2.000000 
 1,0800,+43,343.000000 
 1,0800,+46,350.000000 
 1,0800,+49,325.000000 
 1,0800,+52,331.000000 
 1,0800,+55,359.000000 
 1,1100,+4,140.000000 
 1,1100,+7,120.000000 
 1,1100,+10,94.000000 
 1,1100,+13,14.000000 
 1,1100,+16,47.000000 
 1,1100,+19,67.000000 
 1,1100,+22,90.000000 
 1,1100,+25,177.000000 
 1,1100,+28,287.000000 
 1,1100,+31,14.000000 
 1,1100,+34,337.000000 
 1,1100,+37,2.000000 
 1,1100,+40,343.000000 
 1,1100,+43,350.000000 
 1,1100,+46,325.000000 
 1,1100,+49,331.000000 
 1,1100,+52,359.000000 
 1,1400,+4,120.000000 
 1,1400,+7,94.000000 
 1,1400,+10,14.000000 
 1,1400,+13,47.000000 
 1,1400,+16,67.000000 
 1,1400,+19,90.000000 
 1,1400,+22,177.000000 
 1,1400,+25,287.000000 
 1,1400,+28,14.000000 
 1,1400,+31,337.000000 
 1,1400,+34,2.000000 
 1,1400,+37,343.000000 
 1,1400,+40,350.000000 
 1,1400,+43,325.000000 
 1,1400,+46,331.000000 
 1,1400,+49,359.000000 
 1,1700,+4,94.000000 
 1,1700,+7,14.000000 
 1,1700,+10,47.000000 
 1,1700,+13,67.000000 
 1,1700,+16,90.000000 
 1,1700,+19,177.000000 
 1,1700,+22,287.000000 
 1,1700,+25,14.000000 
 1,1700,+28,337.000000 
 1,1700,+31,2.000000 
 1,1700,+34,343.000000 
 1,1700,+37,350.000000 
 1,1700,+40,325.000000 
 1,1700,+43,331.000000 
 1,1700,+46,359.000000 
 1,2000,+4,15.000000 
 1,2000,+7,47.000000 
 1,2000,+10,67.000000 
 1,2000,+13,90.000000 
 1,2000,+16,178.000000 
 1,2000,+19,288.000000 
 1,2000,+22,12.000000 
 1,2000,+25,339.000000 
 1,2000,+28,3.000000 
 1,2000,+31,343.000000 
 1,2000,+34,350.000000 
 1,2000,+37,325.000000 
 1,2000,+40,331.000000 
 1,2000,+43,359.000000 
 1,2000,+46,2.000000 
 1,2000,+49,6.000000 
 1,2000,+52,40.000000 
 1,2000,+55,95.000000 
 1,2000,+58,86.000000 
 1,2000,+61,20.000000 
 1,2000,+64,93.000000 
 1,2000,+67,132.000000 
 1,2300,+4,47.000000 
 1,2300,+7,67.000000 
 1,2300,+10,90.000000 
 1,2300,+13,178.000000 
 1,2300,+16,288.000000 
 1,2300,+19,12.000000 
 1,2300,+22,339.000000 
 1,2300,+25,3.000000 
 1,2300,+28,343.000000 
 1,2300,+31,350.000000 
 1,2300,+34,325.000000 
 1,2300,+37,331.000000 
 1,2300,+40,359.000000 
 1,2300,+43,2.000000 
 1,2300,+46,6.000000 
 1,2300,+49,40.000000 
 1,2300,+52,95.000000 
 1,2300,+55,86.000000 
 1,2300,+58,20.000000 
 1,2300,+61,93.000000 
 1,2300,+64,132.000000 
 2,0200,+4,67.000000 
 2,0200,+7,90.000000 
 2,0200,+10,178.000000 
 2,0200,+13,288.000000 
 2,0200,+16,12.000000 
 2,0200,+19,339.000000 
 2,0200,+22,3.000000 
 2,0200,+25,343.000000 
 2,0200,+28,350.000000 
 2,0200,+31,325.000000 
 2,0200,+34,331.000000 
 2,0200,+37,359.000000 
 2,0200,+40,3.000000 
 2,0200,+43,6.000000 
 2,0200,+46,40.000000 
 2,0200,+49,95.000000 
 2,0200,+52,87.000000 
 2,0200,+55,17.000000 
 2,0200,+58,86.000000 
 2,0200,+61,133.000000 
 2,0500,+4,90.000000 
 2,0500,+7,178.000000 
 2,0500,+10,288.000000 
 2,0500,+13,12.000000 
 2,0500,+16,339.000000 
 2,0500,+19,3.000000 
 2,0500,+22,343.000000 
 2,0500,+25,350.000000 
 2,0500,+28,325.000000 
 2,0500,+31,331.000000 
 2,0500,+34,359.000000 
 2,0500,+37,3.000000 
 2,0500,+40,6.000000 
 2,0500,+43,40.000000 
 2,0500,+46,95.000000 
 2,0500,+49,87.000000 
 2,0500,+52,17.000000 
 2,0500,+55,86.000000 
 2,0500,+58,133.000000 
 2,0800,+4,178.000000 
 2,0800,+7,288.000000 
 2,0800,+10,12.000000 
 2,0800,+13,340.000000 
 2,0800,+16,3.000000 
 2,0800,+19,343.000000 
 2,0800,+22,350.000000 
 2,0800,+25,325.000000 
 2,0800,+28,331.000000 
 2,0800,+31,359.000000 
 2,0800,+34,3.000000 
 2,0800,+37,6.000000 
 2,0800,+40,40.000000 
 2,0800,+43,95.000000 
 2,0800,+46,87.000000 
 2,0800,+49,17.000000 
 2,0800,+52,86.000000 
 2,0800,+55,133.000000 
 2,1100,+4,288.000000 
 2,1100,+7,12.000000 
 2,1100,+10,340.000000 
 2,1100,+13,3.000000 
 2,1100,+16,343.000000 
 2,1100,+19,350.000000 
 2,1100,+22,325.000000 
 2,1100,+25,331.000000 
 2,1100,+28,359.000000 
 2,1100,+31,3.000000 
 2,1100,+34,6.000000 
 2,1100,+37,40.000000 
 2,1100,+40,95.000000 
 2,1100,+43,87.000000 
 2,1100,+46,17.000000 
 2,1100,+49,86.000000 
 2,1100,+52,133.000000 
 2,1400,+4,12.000000 
 2,1400,+7,340.000000 
 2,1400,+10,3.000000 
 2,1400,+13,343.000000 
 2,1400,+16,350.000000 
 2,1400,+19,325.000000 
 2,1400,+22,331.000000 
 2,1400,+25,359.000000 
 2,1400,+28,3.000000 
 2,1400,+31,6.000000 
 2,1400,+34,40.000000 
 2,1400,+37,95.000000 
 2,1400,+40,87.000000 
 2,1400,+43,17.000000 
 2,1400,+46,86.000000 
 2,1400,+49,133.000000 
 2,1700,+4,338.000000 
 2,1700,+7,2.000000 
 2,1700,+10,343.000000 
 2,1700,+13,350.000000 
 2,1700,+16,325.000000 
 2,1700,+19,331.000000 
 2,1700,+22,359.000000 
 2,1700,+25,3.000000 
 2,1700,+28,6.000000 
 2,1700,+31,40.000000 
 2,1700,+34,95.000000 
 2,1700,+37,87.000000 
 2,1700,+40,17.000000 
 2,1700,+43,86.000000 
 2,1700,+46,133.000000 
 2,2000,+4,296.000000 
 2,2000,+7,325.000000 
 2,2000,+10,341.000000 
 2,2000,+13,320.000000 
 2,2000,+16,325.000000 
 2,2000,+19,345.000000 
 2,2000,+22,7.000000 
 2,2000,+25,20.000000 
 2,2000,+28,28.000000 
 2,2000,+31,75.000000 
 2,2000,+34,100.000000 
 2,2000,+37,104.000000 
 2,2000,+40,119.000000 
 2,2000,+43,111.000000 
 2,2000,+46,104.000000 
 2,2000,+49,60.000000 
 2,2000,+52,65.000000 
 2,2000,+55,40.000000 
 2,2000,+58,357.000000 
 2,2000,+61,329.000000 
 2,2000,+64,341.000000 
 2,2000,+67,343.000000 
 2,2300,+4,325.000000 
 2,2300,+7,341.000000 
 2,2300,+10,320.000000 
 2,2300,+13,325.000000 
 2,2300,+16,345.000000 
 2,2300,+19,7.000000 
 2,2300,+22,20.000000 
 2,2300,+25,28.000000 
 2,2300,+28,75.000000 
 2,2300,+31,100.000000 
 2,2300,+34,104.000000 
 2,2300,+37,119.000000 
 2,2300,+40,111.000000 
 2,2300,+43,104.000000 
 2,2300,+46,60.000000 
 2,2300,+49,65.000000 
 2,2300,+52,40.000000 
 2,2300,+55,357.000000 
 2,2300,+58,329.000000 
 2,2300,+61,341.000000 
 2,2300,+64,343.000000 
 3,0200,+4,341.000000 
 3,0200,+7,320.000000 
 3,0200,+10,325.000000 
 3,0200,+13,345.000000 
 3,0200,+16,7.000000 
 3,0200,+19,20.000000 
 3,0200,+22,28.000000 
 3,0200,+25,75.000000 
 3,0200,+28,100.000000 
 3,0200,+31,104.000000 
 3,0200,+34,119.000000 
 3,0200,+37,111.000000 
 3,0200,+40,104.000000 
 3,0200,+43,60.000000 
 3,0200,+46,65.000000 
 3,0200,+49,40.000000 
 3,0200,+52,357.000000 
