 format: day,hour,forecast,value  location:53_114 Start : 20190101 
 1,0200,+4,301.000000 
 1,0200,+7,303.000000 
 1,0200,+10,313.000000 
 1,0200,+13,319.000000 
 1,0200,+16,316.000000 
 1,0200,+19,316.000000 
 1,0200,+22,325.000000 
 1,0200,+25,324.000000 
 1,0200,+28,323.000000 
 1,0200,+31,318.000000 
 1,0200,+34,313.000000 
 1,0200,+37,317.000000 
 1,0200,+40,328.000000 
 1,0200,+43,333.000000 
 1,0200,+46,331.000000 
 1,0200,+49,339.000000 
 1,0200,+52,322.000000 
 1,0200,+55,306.000000 
 1,0200,+58,312.000000 
 1,0200,+61,286.000000 
 1,0500,+4,303.000000 
 1,0500,+7,313.000000 
 1,0500,+10,319.000000 
 1,0500,+13,316.000000 
 1,0500,+16,316.000000 
 1,0500,+19,325.000000 
 1,0500,+22,324.000000 
 1,0500,+25,323.000000 
 1,0500,+28,318.000000 
 1,0500,+31,313.000000 
 1,0500,+34,317.000000 
 1,0500,+37,328.000000 
 1,0500,+40,333.000000 
 1,0500,+43,331.000000 
 1,0500,+46,339.000000 
 1,0500,+49,322.000000 
 1,0500,+52,306.000000 
 1,0500,+55,312.000000 
 1,0500,+58,286.000000 
 1,0800,+4,315.000000 
 1,0800,+7,321.000000 
 1,0800,+10,312.000000 
 1,0800,+13,317.000000 
 1,0800,+16,329.000000 
 1,0800,+19,329.000000 
 1,0800,+22,323.000000 
 1,0800,+25,319.000000 
 1,0800,+28,320.000000 
 1,0800,+31,323.000000 
 1,0800,+34,337.000000 
 1,0800,+37,332.000000 
 1,0800,+40,324.000000 
 1,0800,+43,323.000000 
 1,0800,+46,327.000000 
 1,0800,+49,317.000000 
 1,0800,+52,323.000000 
 1,0800,+55,291.000000 
 1,1100,+4,321.000000 
 1,1100,+7,312.000000 
 1,1100,+10,317.000000 
 1,1100,+13,329.000000 
 1,1100,+16,329.000000 
 1,1100,+19,323.000000 
 1,1100,+22,319.000000 
 1,1100,+25,320.000000 
 1,1100,+28,323.000000 
 1,1100,+31,337.000000 
 1,1100,+34,332.000000 
 1,1100,+37,324.000000 
 1,1100,+40,323.000000 
 1,1100,+43,327.000000 
 1,1100,+46,317.000000 
 1,1100,+49,323.000000 
 1,1100,+52,291.000000 
 1,1400,+4,312.000000 
 1,1400,+7,317.000000 
 1,1400,+10,329.000000 
 1,1400,+13,329.000000 
 1,1400,+16,323.000000 
 1,1400,+19,319.000000 
 1,1400,+22,320.000000 
 1,1400,+25,323.000000 
 1,1400,+28,337.000000 
 1,1400,+31,332.000000 
 1,1400,+34,324.000000 
 1,1400,+37,323.000000 
 1,1400,+40,327.000000 
 1,1400,+43,317.000000 
 1,1400,+46,323.000000 
 1,1400,+49,291.000000 
 1,1700,+4,317.000000 
 1,1700,+7,329.000000 
 1,1700,+10,329.000000 
 1,1700,+13,323.000000 
 1,1700,+16,319.000000 
 1,1700,+19,320.000000 
 1,1700,+22,323.000000 
 1,1700,+25,337.000000 
 1,1700,+28,332.000000 
 1,1700,+31,324.000000 
 1,1700,+34,323.000000 
 1,1700,+37,327.000000 
 1,1700,+40,317.000000 
 1,1700,+43,323.000000 
 1,1700,+46,291.000000 
 1,2000,+4,322.000000 
 1,2000,+7,330.000000 
 1,2000,+10,319.000000 
 1,2000,+13,322.000000 
 1,2000,+16,314.000000 
 1,2000,+19,319.000000 
 1,2000,+22,342.000000 
 1,2000,+25,336.000000 
 1,2000,+28,340.000000 
 1,2000,+31,347.000000 
 1,2000,+34,327.000000 
 1,2000,+37,317.000000 
 1,2000,+40,322.000000 
 1,2000,+43,225.000000 
 1,2000,+46,137.000000 
 1,2000,+49,126.000000 
 1,2000,+52,127.000000 
 1,2000,+55,193.000000 
 1,2000,+58,291.000000 
 1,2000,+61,297.000000 
 1,2000,+64,317.000000 
 1,2000,+67,333.000000 
 1,2300,+4,330.000000 
 1,2300,+7,319.000000 
 1,2300,+10,322.000000 
 1,2300,+13,314.000000 
 1,2300,+16,319.000000 
 1,2300,+19,342.000000 
 1,2300,+22,336.000000 
 1,2300,+25,340.000000 
 1,2300,+28,347.000000 
 1,2300,+31,327.000000 
 1,2300,+34,317.000000 
 1,2300,+37,322.000000 
 1,2300,+40,225.000000 
 1,2300,+43,137.000000 
 1,2300,+46,126.000000 
 1,2300,+49,127.000000 
 1,2300,+52,193.000000 
 1,2300,+55,291.000000 
 1,2300,+58,297.000000 
 1,2300,+61,317.000000 
 1,2300,+64,333.000000 
 2,0200,+4,319.000000 
 2,0200,+7,322.000000 
 2,0200,+10,314.000000 
 2,0200,+13,319.000000 
 2,0200,+16,342.000000 
 2,0200,+19,336.000000 
 2,0200,+22,340.000000 
 2,0200,+25,347.000000 
 2,0200,+28,327.000000 
 2,0200,+31,317.000000 
 2,0200,+34,322.000000 
 2,0200,+37,225.000000 
 2,0200,+40,137.000000 
 2,0200,+43,126.000000 
 2,0200,+46,127.000000 
 2,0200,+49,193.000000 
 2,0200,+52,291.000000 
 2,0200,+55,297.000000 
 2,0200,+58,317.000000 
 2,0200,+61,333.000000 
 2,0500,+4,322.000000 
 2,0500,+7,314.000000 
 2,0500,+10,319.000000 
 2,0500,+13,342.000000 
 2,0500,+16,336.000000 
 2,0500,+19,340.000000 
 2,0500,+22,347.000000 
 2,0500,+25,327.000000 
 2,0500,+28,317.000000 
 2,0500,+31,322.000000 
 2,0500,+34,225.000000 
 2,0500,+37,137.000000 
 2,0500,+40,126.000000 
 2,0500,+43,127.000000 
 2,0500,+46,193.000000 
 2,0500,+49,291.000000 
 2,0500,+52,297.000000 
 2,0500,+55,317.000000 
 2,0500,+58,333.000000 
 2,0800,+4,319.000000 
 2,0800,+7,325.000000 
 2,0800,+10,336.000000 
 2,0800,+13,333.000000 
 2,0800,+16,338.000000 
 2,0800,+19,331.000000 
 2,0800,+22,328.000000 
 2,0800,+25,327.000000 
 2,0800,+28,324.000000 
 2,0800,+31,0.000000 
 2,0800,+34,201.000000 
 2,0800,+37,134.000000 
 2,0800,+40,156.000000 
 2,0800,+43,225.000000 
 2,0800,+46,287.000000 
 2,0800,+49,282.000000 
 2,0800,+52,302.000000 
 2,0800,+55,330.000000 
 2,1100,+4,325.000000 
 2,1100,+7,336.000000 
 2,1100,+10,333.000000 
 2,1100,+13,338.000000 
 2,1100,+16,331.000000 
